District_code,State_name,District_name,Population,Male,Female,Literate,Workers,Male_Workers,Female_Workers,Cultivator_Workers,Agricultural_Workers,Household_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Secondary_Education,Higher_Education,Graduate_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50
327,WEST BENGAL,Darjiling,1846823,937259,909564,1315585,683726,479586,204140,76178,66041,16579,1366681,105086,141848,2032,209240,1840,176129,113905,110193,1031221,523288,289979
328,WEST BENGAL,Jalpaiguri,3872846,1983064,1889782,2498780,1512910,1091361,421549,214932,349672,30090,3156781,445817,186279,2994,50676,1461,292056,150360,129393,2259507,1035449,575667
329,WEST BENGAL,Koch Bihar,2819086,1451542,1367544,1850504,1127977,845308,282669,364797,391875,40593,2087766,720033,4122,449,445,1869,209153,93119,81100,1623320,744646,448761
330,WEST BENGAL,Uttar Dinajpur,3007134,1551066,1456068,1489667,1075626,799627,275999,257377,442328,37978,1482943,1501170,16702,477,432,1324,163106,73395,59457,1916033,704859,385155
331,WEST BENGAL,Dakshin Dinajpur,1676276,857199,819077,1083685,702987,499560,203427,193276,279932,32290,1232850,412788,24794,276,148,323,135556,63286,52345,937283,465982,271423
332,WEST BENGAL,Maldah,3988845,2051541,1937304,2086432,1537847,1086461,451386,255182,545759,196687,1914352,2045151,13209,747,359,639,238078,109719,92207,2511004,955283,520122
333,WEST BENGAL,Murshidabad,7103807,3627564,3476243,4055834,2589907,1985667,604240,381076,842294,466007,2359061,4707573,18102,766,348,3037,443254,230242,170051,4390564,1717594,991413
334,WEST BENGAL,Birbhum,3502404,1790920,1711484,2158447,1331603,1029770,301833,227254,611510,65062,2181515,1298054,10906,582,258,1152,245201,122865,115743,2008655,952059,539463
335,WEST BENGAL,Barddhaman,7717563,3966889,3750674,5247208,2911251,2293083,618168,342166,973182,124558,6008472,1599764,21220,16675,1602,1674,698251,405935,439823,4149420,2265543,1292913
336,WEST BENGAL,Nadia,5167600,2653768,2513832,3480555,1842607,1554090,288517,308742,556134,169138,3728482,1382682,33835,849,514,281,412193,236828,209562,2745828,1484986,934417
337,WEST BENGAL,North Twenty Four Parganas,10009781,5119389,4890392,7608693,3571624,2945189,626435,288058,599039,155762,7352769,2584684,26933,9394,5818,4452,989053,670977,852923,5104876,2968996,1921143
338,WEST BENGAL,Hugli,5519145,2814653,2704492,4078388,2152870,1713608,439262,259680,583380,111828,4574569,870204,7300,2662,1730,2160,515807,333658,380060,2766489,1688206,1060821
339,WEST BENGAL,Bankura,3596674,1838095,1758579,2232992,1466220,1050822,415398,309723,647374,61386,3033581,290450,3865,386,260,2904,261478,143882,133465,1942335,1014764,637834
340,WEST BENGAL,Puruliya,2930115,1496996,1433119,1624905,1249642,801254,448388,268800,492205,87560,2373120,227249,8646,622,209,3052,177459,91807,77621,1678057,764776,484166
341,WEST BENGAL,Haora,4850029,2500819,2349210,3605206,1819845,1498170,321675,80575,181662,297774,3535844,1270641,8666,4380,1258,9699,446743,284481,304594,2587164,1423304,833104
342,WEST BENGAL,Kolkata,4496694,2356766,2139928,3588137,1795740,1412466,383274,16039,12388,68438,3440290,926414,39758,13849,4771,21178,555529,425245,691804,2025389,1433314,1014769
343,WEST BENGAL,South Twenty Four Parganas,8161961,4173778,3988183,5531657,2964494,2356571,607923,355350,806562,240976,5155545,2903075,66498,2783,2494,972,564417,316571,322157,4763943,2151474,1235558
344,WEST BENGAL,Paschim Medinipur,5913457,3007885,2905572,4078412,2509159,1757358,751801,572268,1105201,142602,5056953,620554,23287,2854,2019,1550,477973,262072,211437,3243971,1664250,990179
345,WEST BENGAL,Purba Medinipur,5095875,2629834,2466041,3923194,1910320,1516096,394224,345215,702304,118816,4343972,743436,2648,746,317,574,444668,236549,184225,2866678,1384242,842025
346,JHARKHAND,Garhwa,1322784,683575,639209,653476,571431,335451,235980,113561,328673,14487,1104475,194680,17168,123,371,20,87844,46882,28144,860869,284036,177599
347,JHARKHAND,Chatra,1042886,533935,508951,510061,397690,251213,146477,119297,188513,14210,903179,116710,6565,888,35,129,63670,35342,21697,692650,222892,126682
348,JHARKHAND,Kodarma,716259,367222,349037,390249,257418,173993,83425,83126,64275,7934,605138,107018,1221,944,32,980,52622,26415,20907,462098,158603,95309
349,JHARKHAND,Giridih,2445474,1258098,1187376,1253475,1036277,623946,412331,369913,362610,32544,1856202,508586,14645,937,650,1503,146464,77540,55122,1597269,533788,312967
350,JHARKHAND,Deoghar,1492073,775022,717051,793538,551467,383691,167776,128656,209693,39361,1165140,302626,6027,143,188,282,96331,54419,43979,944961,338413,205514
351,JHARKHAND,Godda,1313551,677927,635624,604519,552191,344019,208172,144603,307767,18719,937126,289182,37795,97,128,115,79430,47395,30870,820367,308639,183519
352,JHARKHAND,Sahibganj,1150567,589391,561176,483263,490202,295690,194512,109975,206902,43179,628044,398243,83208,198,245,125,52248,28087,19832,745027,261849,137727
353,JHARKHAND,Pakur,900422,452661,447761,352881,404584,234012,170572,105334,150028,19471,410127,322963,75865,356,283,222,29934,15700,9822,587976,206826,104418
354,JHARKHAND,Dhanbad,2684487,1405956,1278531,1722204,844504,658851,185653,97118,103488,25889,2149480,431762,11243,9727,331,1268,305054,186697,107382,1634835,648876,356445
355,JHARKHAND,Bokaro,2062330,1072807,989523,1273520,685368,507677,177691,137521,126406,21671,1636460,241451,13730,4174,1890,2045,232434,154076,116396,1261238,510375,282115
356,JHARKHAND,Lohardaga,461790,232629,229161,259707,221332,121605,99727,99780,80840,4449,112378,95012,16770,51,33,15,38503,21987,13847,298844,100340,62244
357,JHARKHAND,Purbi Singhbhum,2293919,1176902,1117017,1507699,837167,616249,220918,112059,209802,21438,1550178,203999,30172,38544,892,1670,278853,162210,157688,1292595,632314,368148
358,JHARKHAND,Palamu,1939869,1006302,933567,1024563,713175,473042,240133,133585,380976,19911,1683169,238295,6164,734,188,284,160964,100290,63595,1244572,425668,268387
359,JHARKHAND,Latehar,726978,369666,357312,350682,313379,180106,133273,103693,142729,9205,473049,69808,47653,120,128,16,46142,23885,13956,484084,152720,89870
360,JHARKHAND,Hazaribagh,1734495,890881,843614,1013249,654636,423472,231164,242460,172385,16150,1397227,281247,17137,1312,71,1676,173378,99945,79898,1107452,396466,230033
361,JHARKHAND,Ramgarh,949443,494230,455213,596497,312125,234202,77923,90770,46815,8336,774251,129037,7260,5093,69,537,101381,70249,47207,594747,230525,123794
362,JHARKHAND,Dumka,1321442,668514,652928,672409,624779,367108,257671,193402,303084,23106,1044726,106865,86404,234,267,162,69525,38383,25593,799323,324226,196164
363,JHARKHAND,Jamtara,791042,404830,386212,426312,326631,214740,111891,106008,135667,11547,550560,164406,4419,520,118,783,40613,22995,14802,480895,189889,116810
364,JHARKHAND,Ranchi,2914253,1494937,1419316,1911433,1142867,743967,398900,317487,267360,38452,1612239,410759,193974,4826,932,2733,370847,247237,195181,1742293,725938,409166
365,JHARKHAND,Khunti,531885,266335,265550,284575,259984,141123,118861,166290,49448,9245,138863,13122,136438,69,245,148,48591,20689,10130,327152,125649,78736
366,JHARKHAND,Gumla,1025213,514390,510823,559720,487508,264774,222734,321272,97918,12771,309563,51429,202449,221,531,23,82114,45613,23742,643579,225871,155452
367,JHARKHAND,Simdega,599578,300309,299269,343483,288645,159867,128778,158019,90232,8011,201524,15103,306601,51,753,114,47836,24842,13674,357859,143560,97817
368,JHARKHAND,Pashchimi Singhbhum,1502338,749385,752953,727561,694863,392690,302173,244172,267475,24825,423937,38103,87587,946,389,52,79516,35824,10743,960987,353305,187635
369,JHARKHAND,Saraikela-Kharsawan,1065056,544411,520645,612993,430051,283281,146770,116731,142966,10251,709016,63588,8113,1114,187,72,106348,49944,29840,634975,265892,161542
370,ORISSA,Bargarh,1481255,749161,732094,983783,762092,473305,288787,216413,360650,48145,1459065,7527,11744,652,161,125,147217,58840,49238,787033,410005,282422
371,ORISSA,Jharsuguda,579505,296690,282815,405879,247707,172018,75689,40867,56809,15836,553587,12783,10462,1441,80,70,70928,32909,22010,320156,159477,98555
372,ORISSA,Sambalpur,1041099,526877,514222,703691,505840,313161,192679,86800,160798,59288,964188,20120,50637,2506,310,86,108455,50705,45828,565700,286575,186726
373,ORISSA,Debagarh,312520,158230,154290,197819,165435,92384,73051,42660,82490,8087,296001,704,14518,53,102,7,27415,13420,9041,176062,81789,53989
374,ORISSA,Sundargarh,2093437,1061147,1032290,1342322,873227,584687,288540,184273,253327,26970,1532352,71391,385011,5713,710,721,243386,120373,94710,1188918,573238,324436
375,ORISSA,Kendujhar,1801733,906487,895246,1052518,766514,498077,268437,198044,310075,21314,1752694,27752,9141,2177,209,131,158035,70059,57762,1038890,472908,282751
376,ORISSA,Mayurbhanj,2519738,1256213,1263525,1369397,1223534,697782,525752,238772,568755,113808,2113079,33706,15008,661,162,109,214921,92060,72847,1449729,650135,414076
377,ORISSA,Baleshwar,2320529,1185787,1134742,1621232,932707,684020,248687,288818,358214,28736,2197709,94254,6434,237,111,201,267354,112392,105962,1303828,622575,390611
378,ORISSA,Bhadrak,1506337,760260,746077,1094140,468599,409559,59040,155956,151377,14451,1398543,104202,745,169,81,111,177013,71815,67536,848660,393629,260486
379,ORISSA,Kendrapara,1440361,717814,722547,1089265,466890,386382,80508,149264,143864,16544,1386792,50247,1423,169,62,52,203472,76449,75926,771284,374559,290894
380,ORISSA,Jagatsinghapur,1136971,577865,559106,889027,403649,325589,78060,111320,110323,16357,1086140,46929,1604,206,74,58,185671,72703,70602,577896,317148,238753
381,ORISSA,Cuttack,2624470,1352760,1271710,2011469,936365,761876,174489,138698,248298,51809,2457729,141263,11985,1026,6276,1180,328319,159456,181601,1372301,743090,499895
382,ORISSA,Jajapur,1827192,926034,901158,1290455,552234,486091,66143,120881,186021,20938,1725595,93642,1623,470,58,100,223657,96963,87623,1010147,479392,332706
383,ORISSA,Dhenkanal,1192811,612593,580218,829910,435533,340552,94981,71230,163636,17312,1185542,4805,727,124,366,39,132002,53162,43064,641697,326233,222398
384,ORISSA,Anugul,1273821,655718,618103,869456,526520,360947,165573,107607,172414,35069,1258684,7512,3383,812,226,36,129226,58029,45588,708493,347521,213517
385,ORISSA,Nayagarh,962789,502636,460153,688362,343633,284591,59042,83022,120129,17557,955754,5278,383,107,33,24,90089,36951,33148,502136,262086,196994
386,ORISSA,Khordha,2251673,1167137,1084536,1749936,792193,645880,146313,92662,116274,39471,2147632,84060,12527,1264,475,476,295099,177974,247498,1199521,653346,391701
387,ORISSA,Puri,1698730,865380,833350,1291939,621676,498461,123215,172761,163942,25115,1644905,46094,4239,193,243,94,179086,84374,87000,888134,477430,328666
388,ORISSA,Ganjam,3529031,1779218,1749813,2210050,1501772,990027,511745,284943,565448,56274,3486059,13315,23975,590,174,170,297490,121151,97147,1980232,924756,613249
389,ORISSA,Gajapati,577817,282882,294935,262537,293933,155907,138026,65062,153199,5370,353160,1556,219482,53,2180,66,36977,17084,12556,345387,144043,85072
390,ORISSA,Kandhamal,733110,359945,373165,399786,355349,193515,161834,79221,162932,11946,580300,2138,148895,82,290,47,48856,21351,14962,436625,177471,117777
391,ORISSA,Baudh,441162,221625,219537,271612,219457,125627,93830,63657,104685,11674,438152,1007,522,24,5,11,30799,12500,8124,253467,111571,75046
392,ORISSA,Subarnapur,610183,311312,298871,398421,286661,181595,105066,74005,139413,18756,605225,1566,2374,58,46,17,65368,25556,16745,341561,153760,113450
393,ORISSA,Balangir,1648997,830097,818900,927260,720601,469956,250645,166565,326416,28650,1618175,7811,16271,565,467,2225,116297,54694,42401,904026,430011,310876
394,ORISSA,Nuapada,610382,301962,308420,299383,305438,168155,137283,94692,149834,8641,601092,4952,1778,724,76,905,51886,19577,10131,344075,152681,112325
395,ORISSA,Kalahandi,1576869,787101,789768,802036,751930,447290,304640,144991,436733,18453,1555367,4975,11160,796,175,1225,94044,40383,27385,880160,415778,275533
396,ORISSA,Rayagada,967911,471960,495951,407735,467122,258032,209090,99265,248175,9959,874445,4607,84916,219,249,123,46001,21439,17681,577569,245766,140825
397,ORISSA,Nabarangapur,1220946,604812,616134,470379,610906,342641,268265,173086,328783,14409,1178005,6753,32152,169,189,325,44522,16463,11198,745206,297552,171761
398,ORISSA,Koraput,1379647,678809,700838,568090,693406,384053,309353,207194,290626,14416,1294151,8850,68550,518,219,491,60589,32257,29000,818578,348803,207206
399,ORISSA,Malkangiri,613192,303624,309568,244706,310666,170495,140171,151260,106353,7725,600219,1871,10039,213,43,195,19031,8487,5585,381913,146355,83284
400,CHHATTISGARH,Koriya,658917,334737,324180,397823,307071,185483,121588,118498,94648,4830,604259,25878,9398,1391,84,1155,47127,38677,26802,399581,165022,94073
401,CHHATTISGARH,Surguja,2359886,1193129,1166757,1187941,1155807,649888,505919,465287,523356,12643,2126195,81442,97432,2303,1287,623,135374,105992,64607,1441436,561915,355077
402,CHHATTISGARH,Jashpur,851669,424747,426922,495415,487360,263645,223715,226866,197558,7553,629509,15336,189588,474,467,694,64188,50562,26161,488965,214455,148100
403,CHHATTISGARH,Raigarh,1493984,750278,743706,951639,690167,429211,260956,208313,323788,9959,1422986,17332,47653,2117,781,409,130700,93340,66358,841958,398257,253488
404,CHHATTISGARH,Korba,1206640,612915,593725,748759,521186,333329,187857,113071,221806,7899,1133176,30195,21059,3666,897,753,89167,83166,61215,729708,309479,166959
405,CHHATTISGARH,Janjgir - Champa,1619707,815717,803990,1019634,846466,478278,368188,281266,402359,15828,1597089,14173,2926,635,556,707,152183,127543,58712,975114,383172,260898
406,CHHATTISGARH,Bilaspur,2663629,1351574,1312055,1596560,1203197,715467,487730,276691,572292,21658,2540763,57973,20745,6373,2979,2357,189296,152838,134637,1625484,655032,380114
407,CHHATTISGARH,Kabeerdham,822526,412058,410468,414167,404156,217073,187083,167662,185850,3046,776013,12206,980,924,433,1167,37650,28074,16671,515971,198517,107854
408,CHHATTISGARH,Rajnandgaon,1537133,762855,774278,1008379,800092,436611,363481,342116,290108,10847,1399658,23648,5193,3761,28541,8187,105149,82141,51698,898915,404418,233068
409,CHHATTISGARH,Durg,3343872,1682101,1661771,2303378,1496805,921729,575076,392341,560415,22565,3129745,83499,24304,24276,19587,17209,309508,286244,202424,1919832,898241,523656
410,CHHATTISGARH,Raipur,4063872,2048186,2015686,2629749,1757664,1099964,657700,383279,708993,34078,3881485,103038,23181,16707,8397,17137,313247,267265,227382,2454299,1038155,560184
411,CHHATTISGARH,Mahasamund,1032754,511967,520787,637963,499260,291858,207402,139199,278073,6135,1008061,12570,5284,2941,521,1495,78583,57949,33357,582544,272009,177826
412,CHHATTISGARH,Dhamtari,799781,397897,401884,546833,402895,226382,176513,135435,182602,7310,777188,10425,2644,1196,667,3612,65196,58875,31319,461125,213021,125429
413,CHHATTISGARH,Uttar Bastar Kanker,748941,373338,375603,456042,389359,217513,171846,194018,129142,7811,627460,6040,4007,552,2213,1071,47002,43956,21410,437598,197603,113450
414,CHHATTISGARH,Bastar,1413199,698487,714712,650863,726531,404364,322167,284472,287828,10821,1277975,12413,27951,2099,985,3466,60936,57413,32895,864272,358157,189569
415,CHHATTISGARH,Narayanpur,139820,70104,69716,56621,71089,38186,32903,44389,13820,939,129161,776,600,96,71,409,4158,4488,2216,91338,33956,14367
416,CHHATTISGARH,Dakshin Bastar Dantewada,533638,264142,269496,191237,286595,153294,133301,165389,69385,2310,513915,6437,4888,457,352,1044,16665,16905,11197,334987,140188,58170
417,CHHATTISGARH,Bijapur,255230,128663,126567,86919,134525,71591,62934,66504,49859,1399,245151,1617,2709,68,1649,15,7192,6755,3421,167348,63802,23927
418,MADHYA PRADESH,Sheopur,687861,361784,326077,328025,277455,183788,93667,106745,115261,4166,638702,41396,230,6387,201,379,37072,24732,17091,449974,155063,82416
419,MADHYA PRADESH,Morena,1965970,1068417,897553,1179685,675993,525329,150664,304674,148222,16354,1875495,76159,1092,557,3234,6681,170254,115790,71005,1254302,452484,257704
420,MADHYA PRADESH,Bhind,1703005,926843,776162,1094917,520768,455775,64993,231185,158266,9838,1595400,66776,973,4047,12215,19950,140743,96011,50222,1040736,399676,258588
421,MADHYA PRADESH,Gwalior,2032036,1090327,941709,1357210,685311,548820,136491,130586,120348,22592,1835299,141735,4119,24790,4361,18058,193082,166719,193947,1218319,519728,291451
422,MADHYA PRADESH,Datia,786754,420157,366597,491445,321160,225662,95498,152903,93744,6839,747693,28483,683,490,7923,453,73398,48978,34853,473097,195131,118186
423,MADHYA PRADESH,Shivpuri,1726050,919795,806255,900846,759281,481001,278280,383340,220440,13079,1648749,51200,1117,7151,3421,12171,84684,58509,44812,1106084,389652,227989
424,MADHYA PRADESH,Tikamgarh,1445166,760355,684811,747940,655318,402776,252542,305859,223852,15622,1383475,44143,588,251,109,15569,78053,58245,35034,898323,343824,201875
425,MADHYA PRADESH,Chhatarpur,1762375,936121,826254,943033,751797,481518,270279,302228,238364,26390,1676918,70351,1980,968,250,10409,112961,77787,59704,1112636,394060,252417
426,MADHYA PRADESH,Panna,1016520,533480,483040,552559,431998,275375,156623,135445,198847,12201,974748,35214,418,186,37,4734,70359,47903,29795,635347,235035,144827
427,MADHYA PRADESH,Sagar,2378458,1256257,1122201,1545719,1006035,682077,323958,203600,378560,140458,2198297,103480,5580,4146,991,62992,214137,137899,116753,1470688,569166,335432
428,MADHYA PRADESH,Damoh,1264219,661873,602346,747715,574595,367711,206884,114611,250165,67383,1186420,47966,1681,1096,119,25005,95032,64414,41158,768929,312593,181403
429,MADHYA PRADESH,Satna,2228935,1157495,1071440,1371781,911349,590487,320862,227967,371584,46056,2158623,59471,2228,1163,364,3135,197373,148091,105499,1365647,535086,326049
430,MADHYA PRADESH,Rewa,2365106,1225100,1140006,1441757,991946,617184,374762,258321,463506,50878,2268838,85414,1964,832,986,655,206274,180635,122371,1460075,540235,362228
431,MADHYA PRADESH,Umaria,644758,330674,314084,356672,289691,175698,113993,65369,145690,8767,620515,15966,667,190,70,220,43418,27216,18144,403030,158140,82984
432,MADHYA PRADESH,Neemuch,826067,422653,403414,508834,418682,245708,172974,175602,136330,4020,741288,67324,1508,1110,224,14165,69134,53465,42343,476995,217403,131227
433,MADHYA PRADESH,Mandsaur,1340411,682851,657560,834591,679723,397714,282009,281465,266350,8556,1192588,125548,1120,849,242,19029,109751,77219,52546,781000,346861,211815
434,MADHYA PRADESH,Ratlam,1455069,738241,716828,825880,690980,411446,279534,218692,305946,11928,1267043,151071,3996,1353,175,29353,111461,86507,67192,876905,363858,213560
435,MADHYA PRADESH,Ujjain,1986864,1016289,970575,1240990,897442,569425,328017,289013,302003,19678,1718204,233133,4659,3241,945,24622,159263,119586,111290,1156749,508302,320502
436,MADHYA PRADESH,Shajapur,1512681,780520,732161,894612,717871,431857,286014,287924,303157,8809,1321003,174724,815,631,179,13755,111366,75967,48671,901161,369741,240768
437,MADHYA PRADESH,Dewas,1563715,805359,758356,925369,742676,451501,291175,260222,310606,11816,1376591,174259,2355,2330,382,6497,125772,94403,55383,943954,388648,230280
438,MADHYA PRADESH,Dhar,2185793,1112725,1073068,1077338,1027974,597079,430895,385522,437437,15830,2051219,116202,2261,1607,328,12199,134279,99882,66721,1377326,533243,273050
439,MADHYA PRADESH,Indore,3276697,1699627,1577070,2309130,1268195,939055,329140,150907,185528,43584,2728225,415142,18523,25696,11496,71667,362209,300076,382658,1877270,894464,493096
440,MADHYA PRADESH,Khargone (West Nimar),1873046,953121,919925,986234,894119,518254,375865,307085,425712,11524,1725441,135085,2075,2896,284,6028,114246,89581,64150,1166866,450248,254570
441,MADHYA PRADESH,Barwani,1385881,699340,686541,549926,653897,365928,287969,287704,267196,7451,1318869,58222,2967,2361,416,2289,59100,42649,30754,923665,302833,158594
442,MADHYA PRADESH,Rajgarh,1545814,790212,755602,804245,745603,429768,315835,285095,330820,12123,1433879,106928,1243,460,121,1599,96386,72316,51499,935230,363218,246447
443,MADHYA PRADESH,Vidisha,1458875,769568,689307,862918,550402,401583,148819,168615,228308,12408,1287391,149548,1313,914,295,18490,104007,65581,59814,919239,335690,203005
444,MADHYA PRADESH,Bhopal,2371061,1236130,1134931,1660690,867457,644960,222497,73346,105195,24732,1755861,525434,23432,10789,21688,25950,211371,178165,266618,1405814,625594,330291
445,MADHYA PRADESH,Sehore,1311332,683743,627589,780362,586087,364559,221528,201307,227026,9917,1163607,137980,1404,640,357,6232,120687,77541,50655,817608,305605,187611
446,MADHYA PRADESH,Raisen,1331597,700358,631239,820220,517838,370366,147472,138725,228151,17316,1195235,120331,1725,2262,253,10637,117908,69419,48384,832939,316319,181524
447,MADHYA PRADESH,Betul,1575362,799236,776126,939769,786980,453887,333093,253602,358157,11849,1505745,37590,3271,1078,9651,3759,140402,105696,82761,938819,392728,242592
448,MADHYA PRADESH,Harda,570465,294838,275627,352550,230979,156852,74127,68019,101256,6459,527462,38640,683,676,93,1573,46556,31939,27126,347774,138882,83417
449,MADHYA PRADESH,Hoshangabad,1241350,648725,592625,810644,478082,345435,132647,116440,181967,9982,1175203,52269,4453,3127,1550,3888,119682,89589,84769,730768,318232,191501
450,MADHYA PRADESH,Katni,1292042,662013,630029,790773,543874,348410,195464,112812,223902,31261,1240650,37232,3158,1167,157,5342,112242,80935,53578,778414,326582,185857
451,MADHYA PRADESH,Jabalpur,2463289,1277278,1186011,1756468,1005624,705970,299654,106882,283636,69946,2159065,203652,23142,13256,4320,33728,268333,222987,235072,1387369,679185,391903
452,MADHYA PRADESH,Narsimhapur,1091854,568810,523044,718785,477818,323464,154354,113866,257865,10594,1038628,39048,914,997,262,8125,109996,82020,52763,620415,289560,180831
453,MADHYA PRADESH,Dindori,704524,351913,352611,378714,389925,203383,186542,150084,190962,7958,605435,6736,4238,260,61,687,49277,31104,15179,419531,181841,102522
454,MADHYA PRADESH,Mandla,1054905,525272,529633,604962,559649,300235,259414,148931,318909,9453,849518,16558,12450,436,297,1789,82166,58066,35476,614794,278553,160510
455,MADHYA PRADESH,Chhindwara,2090922,1064468,1026454,1294198,957984,582263,375721,283111,422668,14585,1923920,100692,4893,2258,24471,7830,215098,167946,112383,1232263,535316,321977
456,MADHYA PRADESH,Seoni,1379131,695879,683252,864194,684434,394660,289774,173665,376404,11957,1145052,79739,1857,360,7288,4982,116124,84398,55984,809922,363037,205237
457,MADHYA PRADESH,Balaghat,1701698,842178,859520,1147623,893014,488610,404404,257785,459796,19245,1519384,38542,5295,1050,72162,4778,168635,126308,74213,969773,453605,276799
458,MADHYA PRADESH,Guna,1241519,649362,592157,653980,514897,335454,179443,213949,175615,12079,1172248,49203,1208,3271,529,13474,79924,50724,42147,793150,285176,162104
459,MADHYA PRADESH,Ashoknagar,845071,443837,401234,469109,315270,231829,83441,116913,122387,10559,778214,40707,635,8009,1352,15094,51499,29551,22791,535410,194772,114131
460,MADHYA PRADESH,Shahdol,1066063,540021,526042,604194,493057,292402,200655,95795,258991,14329,997073,42426,2372,912,268,1737,80402,60915,46513,645619,269145,150655
461,MADHYA PRADESH,Anuppur,749237,379114,370123,436595,346471,207401,139070,115448,130376,7051,686524,21473,2132,606,86,1653,58536,42743,31646,444954,193520,109813
462,MADHYA PRADESH,Sidhi,1127033,575912,551121,600785,461760,284289,177471,102644,262030,15654,1077545,34419,511,128,92,93,80312,60845,33067,721531,253685,150959
463,MADHYA PRADESH,Singrauli,1178273,613637,564636,585054,499439,304234,195205,147732,228472,8856,1118998,46574,2332,1422,338,182,61089,42434,30597,771725,267189,138276
464,MADHYA PRADESH,Jhabua,1025048,515023,510025,352081,515121,265489,249632,329175,115649,5132,960925,15733,38423,141,65,8871,38236,28990,20240,684200,220769,119681
465,MADHYA PRADESH,Alirajpur,728999,362542,366457,209754,366797,188698,178099,256393,73693,4066,705060,17660,4600,65,36,780,18213,15358,10040,488848,155328,84149
466,MADHYA PRADESH,Khandwa (East Nimar),1310061,674329,635732,731615,612976,369676,243300,179337,306623,9852,1182330,116277,2800,1726,1425,3856,77010,56847,42771,809091,313456,186928
467,MADHYA PRADESH,Burhanpur,757847,388504,369343,408679,328339,211925,116414,67799,156295,8077,552526,180840,1199,1074,19883,1884,57058,42618,28237,469838,181605,106034
468,GUJARAT,Kachchh,2092371,1096737,995634,1252319,776228,624704,151524,105876,183971,10802,1608921,442355,6192,6353,490,25312,157284,61366,60386,1278604,524052,286086
469,GUJARAT,Banas Kantha,3120506,1610379,1510127,1704923,1248600,836268,412332,475585,350541,11812,2890305,213505,1686,486,281,12659,226765,105372,66950,1984701,738412,394793
470,GUJARAT,Patan,1343734,694397,649337,837913,554830,383074,171756,136590,227080,6392,1194745,142797,916,337,66,3602,129584,57494,46355,786357,341381,213465
471,GUJARAT,Mahesana,2035064,1056520,978544,1502645,812064,588699,223365,189760,242969,10282,1885732,136431,1954,1082,146,7087,266108,139208,130723,1119451,554432,357578
472,GUJARAT,Sabar Kantha,2428589,1244231,1184358,1578734,1084878,681435,403443,366711,333867,10909,2260560,148563,6375,614,168,11110,333650,198963,110817,1393131,630963,400905
473,GUJARAT,Gandhinagar,1391753,723864,667889,1030494,534976,408075,126901,104147,129356,8600,1319586,57273,3237,1985,497,6405,196456,95730,108400,769329,391862,224886
474,GUJARAT,Ahmadabad,7214225,3788051,3426174,5435760,2594952,2127547,467405,142670,268954,54876,6042416,883238,50754,14542,4518,209287,1135058,549188,839295,3952858,2043895,1198152
475,GUJARAT,Surendranagar,1756268,909917,846351,1093626,723500,504038,219462,185235,270861,9518,1620282,109681,1419,512,312,22992,172947,61164,58389,1033435,439352,280582
476,GUJARAT,Rajkot,3804558,1974445,1830113,2725056,1479050,1159480,319570,349357,214285,23780,3397406,361388,5478,1918,1170,33591,540278,204306,266295,2080568,1052871,659576
477,GUJARAT,Jamnagar,2160119,1114192,1045927,1396534,847440,646822,200618,264318,147193,11359,1810443,320805,4392,1873,1086,18856,199634,74029,87523,1220598,576319,358455
478,GUJARAT,Porbandar,585449,300209,285240,393678,231169,174118,57051,65702,48964,2371,549749,33565,500,248,91,515,63458,25119,22458,314886,163777,105638
479,GUJARAT,Junagadh,2743082,1404356,1338726,1842818,1123709,801859,321850,367311,333996,9645,2397056,334858,2586,1110,1291,3841,311849,137505,139957,1527888,749156,461650
480,GUJARAT,Amreli,1514190,771049,743141,995459,657139,453642,203497,232126,209935,6083,1410463,99105,919,415,243,2053,149478,66785,50999,836343,389892,282409
481,GUJARAT,Bhavnagar,2880365,1490201,1390164,1887255,1150632,838781,311851,231796,334025,17996,2632574,212863,3457,1410,445,26974,281250,96241,93391,1708938,720241,445121
482,GUJARAT,Anand,2092745,1087224,1005521,1551253,844794,627561,217233,152412,346329,16460,1798794,250919,29789,1524,267,8591,283571,127459,110351,1134962,585093,366419
483,GUJARAT,Kheda,2299885,1185727,1114158,1660243,933983,674586,259397,239241,359842,12455,2000884,264482,26629,1403,300,3479,310341,148530,84223,1260660,628221,388646
484,GUJARAT,Panch Mahals,2390776,1226961,1163815,1440805,1097507,673565,423942,456768,376038,10771,2220974,158513,2863,662,337,5236,283648,139773,71810,1421859,599925,363391
485,GUJARAT,Dohad,2127086,1068651,1058435,1007171,999124,540881,458243,388612,438597,8815,2045243,66353,9907,493,260,3331,156556,95794,41458,1402616,467115,252153
486,GUJARAT,Vadodara,4165626,2153736,2011890,2893080,1693473,1233312,460161,312126,570361,17680,3713941,384579,23813,9340,2069,27650,504732,268451,314960,2213474,1190041,733710
487,GUJARAT,Narmada,590297,301086,289211,370336,294795,174282,120513,62823,188030,2594,559848,22600,4413,147,80,373,52687,28396,14748,336830,157910,93466
488,GUJARAT,Bharuch,1551019,805707,745312,1118276,627124,468919,158205,78120,253577,8902,1188204,343511,9494,1733,442,4813,188539,83895,74380,844298,442523,254728
489,GUJARAT,The Dangs,228291,113821,114470,140968,118257,61329,56928,64561,40486,1172,203545,3593,20029,69,32,39,14872,7560,3490,146095,51821,30027
